LNR,RESPONSE
1754,0.0261324588133011
1770,0.025067253097912513
1465,0.004914193563424396
1470,0.005200879958040342
1478,0.006345202457791201
1782,0.006318753173087808
1485,0.005182697457388231
1519,0.022535732559498332
1835,0.020659106461398
1522,0.008778930853709585
1539,0.006247391126783117
1853,0.030787482919590603
1856,0.019204736470571037
2502,0.004122494320931178
2182,0.034101416647007686
2191,0.022210993004187773
2522,0.022549715455858026
2530,0.02222600783558486
2215,0.004063814525719239
2550,0.025238149144583326
2570,0.006696245407272553
2574,0.0039606066488830265
2579,0.006032781446820617
2247,0.027092940222414822
2674,0.004961310395971133
11434,0.003379503644897425
11122,0.02863743071996821
11127,0.023507133367001234
11443,0.02599200459048943
11170,0.012216396658956633
11191,0.006537137155410079
11198,0.023043926044807355
10936,0.012216396658956633
11244,0.006950268507310384
11247,0.016020484502494624
11252,0.00644217705571537
11259,0.012216396658956633
10945,0.004017476682929272
10951,0.007123368041766154
11271,0.023050340187336038
10963,0.024188221722094425
11282,0.0066583480222349185
11291,0.017886633549953544
10980,0.004408520789733899
10994,0.003391860119664388
10998,0.012216396658956633
11303,0.017904570696448834
11630,0.003965275237575854
11636,0.006280342248099696
11949,0.004633836701842051
11950,0.026089815141785367
11956,0.03031573155199554
11648,0.012216396658956633
11653,0.021448586103853834
11967,0.004404847964087426
11972,0.0044743490309478925
11975,0.005475998230274651
12110,0.0036703731833769735
12113,0.02508269430862087
11712,0.004595637898580312
11716,0.012019733856550939
12000,0.006668258239447433
11722,0.021320226478262372
12023,0.012216396658956633
12046,0.0033547171081194102
11762,0.012216396658956633
12071,0.0040060930432991955
12077,0.004437704978964362
11785,0.029076145398703603
11788,0.005240962278805645
11790,0.0041113086805242656
11800,0.025222022499195675
11806,0.004185507624188087
11816,0.004873407766684274
11505,0.004666662390050808
11837,0.004930774710018792
11531,0.022519845478786743
11848,0.005557035018011598
11854,0.004388031396519445
11877,0.004577936989884275
11563,0.0038976720380243975
11567,0.005187198488853993
11894,0.0062700272911967525
11906,0.006711347656845216
11917,0.012216396658956633
11610,0.012216396658956633
11923,0.005261008952309319
12596,0.003908436537779832
12603,0.003923083899847273
12608,0.006872868955481671
12633,0.00562414124965697
12637,0.00803404671006666
21484,0.012216396658956633
21184,0.0047908471419209255
21247,0.005773247689869599
20991,0.018044396916178988
21018,0.006933173702819291
21019,0.02491177919720337
21047,0.0032168078800576
21054,0.0032850069447663945
21374,0.006566752956151903
21392,0.005738149378175972
21713,0.0031572529306113113
22019,0.004621511750651766
22025,0.02887618946314916
21722,0.023610159848123407
21728,0.003677622271253386
22039,0.012216396658956633
22044,0.004029098566288848
61900,0.00862202082160529
62548,0.023091709612563953
63176,0.004313820797216757
64473,0.022585613346302734
64779,0.028520060922761086
64780,0.0031734381313855294
64784,0.005557590123272956
65105,0.012216396658956633
65431,0.021914097973685123
65433,0.03438162436232617
66055,0.003986138545312792
66071,0.012216396658956633
61280,0.023693919434924965
61281,0.02356160026886207
61284,0.003801221700542223
61597,0.0034195641139096416
61606,0.00442342186271525
62235,0.025057723896260226
62240,0.0042148386305878895
62241,0.0038824072745395053
62555,0.024455315261473595
62557,0.012128088985530357
62565,0.004252939860961703
62566,0.029707226706564352
63515,0.003993538701999095
63524,0.03665188608345056
64797,0.005651715215245162
65116,0.012019733856550939
75249,0.004814008157819285
75253,0.030820895390606395
75575,0.012216396658956633
76212,0.006300178269912357
71422,0.00444693548824042
72059,0.0217465311198829
72060,0.006604057250472742
72383,0.004578848803114704
72386,0.006537457239366259
72700,0.007262012109075204
72715,0.004270275275418378
73028,0.0070013547643613195
73346,0.005835250380881922
73658,0.00503950097337445
73662,0.024668258257292696
73666,0.012731257547017634
73668,0.012247242670572499
